full_name,height_inches,reach_inches,stance
Antonio Carvalho,69.0,70.0,Orthodox
Rafael Carvalho,75.0,,
Shane Carwin,74.0,80.0,Orthodox
Johnny Case,70.0,72.0,Orthodox
Kevin Casey,71.0,77.0,Southpaw
Cortney Casey,67.0,67.0,Orthodox
Brandon Cash,77.0,,Orthodox
Bendy Casimir,65.0,,Southpaw
Dwayne Cason,70.0,,Orthodox
Joe Cason,75.0,,
John Castaneda,66.0,71.0,Switch
Eric Castile,68.0,,
Gil Castillo,69.0,,Southpaw
Danny Castillo,69.0,71.0,Orthodox
Raul Castillo,71.0,,Orthodox
Jenna Castillo,62.0,,
Tim Catalfo,71.0,,Orthodox
Nick Catone,72.0,72.0,Southpaw
Luke Caudillo,67.0,,Orthodox
Gesias Cavalcante,68.0,71.0,Orthodox
Rafael Cavalcante,73.0,74.0,Orthodox
Jacqueline Cavalcanti,68.0,70.0,Orthodox
Igor Cavalcanti,71.0,79.0,Orthodox
Magnus Cedenblad,77.0,79.0,Orthodox
Yosdenis Cedeno,68.0,69.0,Orthodox
Henry Cejudo,64.0,64.0,Orthodox
Adam Cella,74.0,,
Vinicius Cenci,73.0,74.0,Orthodox
Katlyn Cerminara,69.0,68.0,Orthodox
Rafael Cerqueira,75.0,76.0,Southpaw
Donald Cerrone,73.0,73.0,Orthodox
Jared Chaffee,70.0,,
Luan Chagas,72.0,75.0,Orthodox
Edgar Chairez,67.0,71.0,Orthodox
Ansar Chalangov,69.0,,Orthodox
Alex Chambers,63.0,63.0,Southpaw
Michael Chandler,68.0,71.0,Orthodox
Chelsea Chandler,68.0,68.0,Southpaw
Eduardo Chapolin,67.0,67.0,Orthodox
Donnie Chappell,71.0,,Southpaw
Joe Charles,73.0,,Southpaw
Dan Charles,74.0,,
Morgan Charriere,68.0,69.0,Orthodox
Jeisla Chaves,66.0,68.0,Orthodox
Ernest Chavez,68.0,70.0,Orthodox
Emilio Chavez,69.0,,
Danny Chavez,68.0,67.0,Orthodox
Gabriel Checco,73.0,,Switch
Albert Cheng,71.0,,Orthodox
Fabio Cherant,73.0,74.0,Southpaw
Ion Cherdivara,,,
Mark Cherico,67.0,69.0,Orthodox
