Fighter,Final ELO,Peak ELO
Nate Landwehr,1524.28,1551.36
Ketlen Souza,1524.15,1524.15
Shi Ming,1524.0,1524.0
Mairon Santos,1524.0,1524.0
Onassis Parungao,1524.0,1524.0
DongHun Choi,1524.0,1524.0
Tulio Palhares,1524.0,1524.0
Cesar Marscucci,1524.0,1524.0
Sione Latu,1524.0,1524.0
Jonathan Wiezorek,1524.0,1524.0
Rafael Carino,1524.0,1524.0
Enson Inoue,1524.0,1524.0
Scott Adams,1524.0,1524.0
Bob Cook,1524.0,1524.0
Justin Martin,1524.0,1524.0
Marcelo Mello,1524.0,1524.0
Jon Hess,1524.0,1524.0
Thiago Alves,1524.0,1657.86
Tom Murphy,1524.0,1524.0
Nathan Fletcher,1524.0,1524.0
Frank Hamaker,1524.0,1524.0
Ryan Loder,1524.0,1524.0
Gerard Gordeau,1524.0,1548.0
Nazim Sadykhov,1523.99,1546.22
Steve Erceg,1523.96,1561.95
Caio Magalhaes,1523.9,1568.85
Kenichi Yamamoto,1523.88,1542.94
Maiquel Falcao,1523.82,1523.82
Ramazan Temirov,1523.82,1523.82
Mikey Burnett,1523.72,1524.0
Yanal Ashmouz,1523.52,1524.0
Tim Boetsch,1523.52,1591.65
Punahele Soriano,1523.44,1547.22
Felicia Spencer,1523.42,1529.57
Phil Rowe,1523.41,1555.93
Carlston Harris,1523.34,1569.01
Jacobe Smith,1523.05,1523.05
Rodolfo Bellato,1522.93,1522.93
Steve Nelmark,1522.87,1546.34
Ebenezer Fontes Braga,1522.58,1522.58
Michael Graves,1522.55,1543.93
Daniel Zellhuber,1522.53,1543.44
Lyman Good,1522.52,1539.61
Danny Silva,1522.43,1522.43
Tim Credeur,1522.42,1570.34
Eduarda Moura,1522.37,1522.37
Wanderlei Silva,1522.3,1522.3
Mansur Abdul-Malik,1522.29,1522.29
Steve Jennum,1522.25,1547.89
Sam Patterson,1522.19,1522.19
Ariane Carnelossi,1522.17,1522.32
Jhonata Diniz,1522.14,1543.12
Kajan Johnson,1522.14,1560.44
Elves Brener,1521.76,1565.99
Melissa Mullins,1521.71,1521.71
Steve Bosse,1521.68,1521.68
Leslie Smith,1521.56,1521.56
Tom Duquesnoy,1521.52,1524.21
Scott Ferrozzo,1521.43,1547.02
Javier Vazquez,1521.31,1521.31
Stephanie Luciano,1521.15,1521.15
Kevin Jousset,1521.12,1544.2
Bruno Lopes,1521.07,1521.07
Johnny Rhodes,1521.02,1546.34
Brian Stann,1521.01,1569.87
Timothy Johnson,1520.91,1525.42
Abdul-Kerim Edilov,1520.91,1520.91
Michael Chandler,1520.84,1541.49
Pedro Nobre,1520.81,1520.81
Ange Loosa,1520.77,1541.61
Marco Tulio,1520.7,1520.7
Joe Solecki,1520.65,1581.97
Chad Laprise,1520.62,1577.55
Brunno Ferreira,1520.57,1547.09
Nordine Taleb,1520.47,1579.44
Cameron Smotherman,1520.4,1520.4
Uros Medic,1520.36,1549.65
Siyar Bahadurzada,1520.33,1563.1
Mike Kyle,1520.31,1521.52
Aisling Daly,1520.25,1524.0
Hamdy Abdelwahab,1520.11,1520.11
Jonathan Pearce,1520.06,1592.76
Zubaira Tukhugov,1520.01,1557.89
Alfonso Alcarez,1520.0,1520.0
Ron Faircloth,1520.0,1520.0
Lone'er Kavanagh,1520.0,1520.0
SuYoung You,1520.0,1520.0
Logan Clark,1520.0,1520.0
Ben Earwood,1520.0,1520.0
Mark Hughes,1520.0,1520.0
ChangHo Lee,1520.0,1520.0
Yoshiki Takahashi,1520.0,1520.0
Cody Durden,1519.92,1568.79
Wang Guan,1519.89,1519.89
Soa Palelei,1519.81,1547.83
Rei Tsuruya,1519.66,1519.66
Alexander Hernandez,1519.57,1564.73
Megan Anderson,1519.43,1531.44
Levan Makashvili,1519.42,1519.77
Charles Jourdain,1519.4,1533.12
Jordan Leavitt,1519.19,1547.0
Adam Wieczorek,1519.15,1540.67
Rafael Estevam,1519.13,1519.13
Carlos Felipe,1519.07,1538.91
MarQuel Mederos,1518.99,1518.99
Mark Robinson,1518.98,1518.98
Puja Tomar,1518.85,1518.85
CJ Fernandes,1518.85,1518.85
Tyrone Roberts,1518.78,1518.78
Tyson Pedro,1518.73,1547.63
